Name,Lat/Long,Description
Jungle Cafe,"51.3022331,0.382204",Addington    London Rd -A20 ME19 5AL TQ661 586  
Aunt Sally's Kitchen,"51.2863999,0.4950714",Allington    Mid Kent Shopping Centre 01622-297271 TQ742 570  
Kirkies Ash Road,"51.3582492,0.2948713","Ash, near Gravesend  01474 872361 TQ598 647     "
The Old Foundry,"51.1498277,0.8577383",Ashford  Cobbswood Industrial Estate Brunswick Road TN23 1 ED 01233-668877 TR001 426     
Ashford - Singleton,"51.1337616,0.8382783",Ashford - Singleton    Wesley School Rd (in the Environment Centre) AshfordTN23 5LW Phone 01233-668308 
The Friars,"51.302716,0.471425",Aylesford Priory    TQ724 591    
Cobtree Manor Country Park,"51.299442,0.50683",Aylesford    Forstal Road TQ743 587  Outside seating only 
Base Camp,"51.2967054,0.4741502",Aylesford    British Legion Village TQ 726 582 Closed Sundays  
Food Pantry High Street,"51.3034941,0.4822826",Aylesford   TQ730 590      
Bedgebury Forest Visitor Centre,"51.072549,0.44692",Bedgebury  B2079 Lady Oak Rd 01580 879820  TQ715 332    
Adams Cafe,"51.110999,0.30103",Bells Yew Green    Frant Lakes Bells Yew Green TQ611371 07977 563 500 
B's Community Shop & Cafe,"51.0657225,0.5869925",Benenden    The Street TN17 4DB 01580-279808 TQ 807 329 
Greenways Garden Centre,"51.118529,0.742264",Bethersden    Ashford Road (A28) 01233-820110 TQ920 390  
Bewl Water Visitor Centre and Restaurant,"51.079027,0.391452",Bewl Water    01892-890171 TQ674 337   
Bloomsburys Garden Centre,"51.114758,0.627208",Biddenden    Sissinghurst Road (A262) 01580-292992 TQ839 383  
Cackle Hill Fishing Lakes,"51.131377,0.6451013",Biddenden    Headcorn Road TN27 8JW 01580-292292 TQ851 402 
The Bakehouse,"51.1152694,0.6422281",Biddenden    High Street TN17 8AH 01580-292270 TQ 850 384 
The Tiny Teapot,"51.1152425,0.6418419",Biddenden    23 High Street TN27 8AL 07817 375 475 TQ 850 384 
Gribble Bridge Lane (Cycle route 18),"51.095383,0.641842",Biddenden Vineyard    01580-291726 TQ847 362  Drinks and pre-wrapped cakes 
Hub Quarry Farm,"50.9954184,0.5396175",Bodiam    Bodiam TN32 5RA 01580-830932 TQ782 248 
National Trust,"51.000226,0.540637",Bodiam Castle  TQ785 255 Open all year     
Oad Street Craft Shop and Tearoom,"51.328151,0.683003",Borden    01795-843130 TQ870 622   
Taste Like More,"51.2922205,0.3059274",Borough Green    33 High Street TN15 8BT 01732-884172 TQ 608 673 Closed Sundays
Bredgar & Wormshill Light Railway,"51.295448,0.6839431",Bredgar    The Warren  Bredgar 01622 884254 TQ872 586 
Farm Shop & Cafe,"51.311898,0.696816",Bredgar    The Street (opposite pond) 01622-884423 TQ879 604 No hot food except toast 
Wyevale Garden Centre,"51.339238,0.55776",Bredhurst    Ham Lane 01634-813778 TQ783 633  
Grays Cafe and Bar,"51.1511939,0.3940916",Brenchley    Brenchley Rd Brenchley 01892-723303 TQ675-418 Closed Sundays
The Independent Pedaler,"51.2394696,1.1477883",Bridge    Highland Court Farm BridgeCT4 5HW 01227-832220  
Brogdale Apple Centre,"51.300737,0.875591",Brogdale-near Faversham    Brogdale Rd 01622-663708  TR006 598  
Lathe Barn Restaurant,"51.055099,1.01675",Burmarsh    Donkey Street 01303-873618 TR108 322  Limited opening in winter
Lime Tree Tea Room,"50.99766,0.386839",Burwash    High Street 01435-882221 TQ674 246  
